Run,Date,Time,Exit,Direction,Race,Speed,Overlimit,License,Comments
35,9/11/05,12:00 AM,4,1,1,72,7,NC        ,               
35,9/11/05,12:00 AM,4,1,1,1,0,NY        ,               
35,9/11/05,12:00 AM,4,1,1,80,15,NY        ,               
35,9/11/05,12:00 AM,4,1,1,74,9,NJ        ,               
35,9/11/05,12:00 AM,4,1,1,78,13,GA        ,               
35,9/11/05,12:00 AM,4,1,1,74,9,NY        ,               
35,9/11/05,12:00 AM,4,1,1,70,5,NJ        ,               
35,9/11/05,12:00 AM,5,1,3,74,9,NY        ,               
35,9/11/05,12:00 AM,5,1,1,74,9,NJ        ,               
35,9/11/05,12:00 AM,5,1,6,73,8,FL        ,               
35,9/11/05,12:00 AM,5,1,1,87,22,NJ        ,               
35,9/11/05,12:00 AM,5,1,1,82,17,NJ        ,               
35,9/11/05,12:00 AM,5,1,1,86,21,NJ        ,               
35,9/11/05,12:00 AM,5,1,6,88,23,NC        ,               
35,9/11/05,12:00 AM,5,1,6,89,24,NC        ,               
35,9/11/05,12:00 AM,6,1,1,75,10,MD        ,               
35,9/11/05,12:00 AM,7,1,1,75,10,PA        ,               
35,9/11/05,12:00 AM,7,1,3,70,5,NJ        ,               
35,9/11/05,12:00 AM,7,1,1,75,10,NJ        ,               
35,9/11/05,12:00 AM,8,2,2,77,12,DE        ,               
35,9/11/05,12:00 AM,8,2,2,77,12,NJ        ,               
35,9/11/05,12:00 AM,8,2,1,82,17,NJ        ,               
35,9/11/05,12:00 AM,8,2,3,74,9,PA        ,               
35,9/11/05,12:00 AM,8,2,1,74,9,PA        ,               
35,9/11/05,12:00 AM,8,2,1,68,3,NJ        ,               
35,9/11/05,12:00 AM,8,2,1,76,11,MA        ,               
35,9/11/05,12:00 AM,7,2,2,**,35,NY        ,               
35,9/11/05,12:00 AM,7,2,4,78,13,PA        ,               
35,9/11/05,12:00 AM,7,2,1,79,14,PA        ,               
35,9/11/05,12:00 AM,6,2,1,69,4,NJ        ,               
35,9/11/05,12:00 AM,6,2,6,73,8,NJ        ,               
35,9/11/05,12:00 AM,5,2,2,71,6,DE        ,               
35,9/11/05,12:00 AM,5,2,1,70,5,DC        ,               
35,9/11/05,12:00 AM,4,2,3,69,4,PA        ,               
35,9/11/05,12:00 AM,4,2,1,1,0,NJ        ,               
35,9/11/05,12:00 AM,3,2,1,69,4,ND        ,               
35,9/11/05,12:00 AM,3,2,1,86,21,CT        ,               
35,9/11/05,12:00 AM,3,2,1,84,19,PA        ,               
35,9/11/05,12:00 AM,3,2,1,74,9,NJ        ,               
35,9/11/05,12:00 AM,2,2,1,71,6,MD        ,               
35,9/11/05,12:00 AM,2,2,1,1,0,NC        ,               
35,9/11/05,12:00 AM,2,2,1,77,12,DE        ,               
35,9/11/05,12:00 AM,1,1,2,1,0,NY        ,               
35,9/11/05,12:00 AM,1,1,2,72,7,NJ        ,               
35,9/11/05,12:00 AM,1,1,2,73,8,VA        ,               
35,9/11/05,12:00 AM,2,1,1,1,0,ME        ,               
35,9/11/05,12:00 AM,2,1,2,73,8,VA        ,               
35,9/11/05,12:00 AM,3,1,1,73,8,NY        ,               
35,9/11/05,12:00 AM,3,1,1,1,0,NJ        ,               
2,8/27/05,12:00 PM,8,2,2,69,4,NJ        ,               
2,8/27/05,12:00 PM,8,2,4,70,5,NY        ,               
2,8/27/05,12:00 PM,8,2,4,68,3,NJ        ,               
2,8/27/05,12:00 PM,8,2,1,70,5,NY        ,               
2,8/27/05,12:00 PM,8,2,4,1,0,NY        ,               
2,8/27/05,12:00 PM,8,2,1,1,0,U         ,               
2,8/27/05,12:00 PM,8,2,4,71,6,NY        ,               
2,8/27/05,12:00 PM,8,2,1,70,5,NY        ,               
