state,session,chamber,bill_id,date,action,actor,type
ak,27,lower,HB 1,2011-01-07 00:00:00,Prefile released,lower,other
ak,27,lower,HB 1,2011-01-18 00:00:00,Read the first time - REFERRALS,lower,bill:introduced|bill:reading:1
ak,27,lower,HB 1,2011-01-18 00:00:00,Referred to Health & Social Services and Judiciary,lower,committee:referred
ak,27,lower,HB 1,2011-03-16 00:00:00,HSS RPT CS(HSS) 2DP 3NR,lower,other
ak,27,lower,HB 1,2011-03-16 00:00:00,"HSS Do Pass: DICK, KELLER",lower,committee:passed
ak,27,lower,HB 1,2011-03-16 00:00:00,"HSS No Recommendation: SEATON, MILLER, HERRON",lower,other
ak,27,lower,HB 1,2011-03-16 00:00:00,Fiscal Note 1: No fiscal impact (Health and Social Services),lower,other
ak,27,lower,HB 1,2011-04-07 00:00:00,JUD RPT CS(JUD) NT 5DP 1NR,lower,other
ak,27,lower,HB 1,2011-04-07 00:00:00,"JUD Do Pass: LYNN, KELLER, THOMPSON, PRUITT, GATTO",lower,committee:passed
ak,27,lower,HB 1,2011-04-07 00:00:00,JUD No Recommendation: GRUENBERG,lower,other
ak,27,lower,HB 1,2011-04-07 00:00:00,Fiscal Note 1: No fiscal impact (Health and Social Services),lower,other
ak,27,lower,HB 1,2011-04-09 00:00:00,RULES TO CALENDAR 4/9/2011,lower,other
ak,27,lower,HB 1,2011-04-09 00:00:00,Read the second time,lower,bill:reading:2
ak,27,lower,HB 1,2011-04-09 00:00:00,JUD CS ADOPTED UNAN CONSENT,lower,other
ak,27,lower,HB 1,2011-04-09 00:00:00,ADVANCED TO THIRD READING 4/11 CALENDAR,lower,other
ak,27,lower,HB 1,2011-04-09 00:00:00,Cosponsors added: JOHNSON,lower,other
ak,27,lower,HB 1,2011-04-11 00:00:00,Read the third time CSHB 1(JUD),lower,bill:reading:3
ak,27,lower,HB 1,2011-04-11 00:00:00,PASSED Y24 N16,lower,bill:passed
ak,27,lower,HB 1,2011-04-11 00:00:00,KAWASAKI NOTICE OF RECONSIDERATION,lower,other
ak,27,lower,HB 1,2011-04-11 00:00:00,RECON TAKEN UP SAME DAY Y35 N4 A1,lower,other
ak,27,lower,HB 1,2011-04-11 00:00:00,PASSED ON RECONSIDERATION Y23 N16 A1,lower,bill:passed
ak,27,lower,HB 1,2011-04-11 00:00:00,Cosponsors added: DICK,lower,other
ak,27,lower,HB 1,2011-04-11 00:00:00,TRANSMITTED TO (S),lower,other
ak,27,lower,HB 1,2011-04-11 00:00:00,VERSION: CSHB 1(JUD),lower,other
ak,27,lower,HB 1,2011-04-12 00:00:00,Read the first time - REFERRALS,upper,bill:introduced|bill:reading:1
ak,27,lower,HB 1,2011-04-12 00:00:00,Referred to Health & Social Services and Judiciary,upper,committee:referred
ak,27,lower,HB 1,2011-04-12 00:00:00,Referred to Health & Social Services,upper,committee:referred
ak,27,lower,HB 10,2011-01-07 00:00:00,Prefile released,lower,other
ak,27,lower,HB 10,2011-01-18 00:00:00,Read the first time - REFERRALS,lower,bill:introduced|bill:reading:1
ak,27,lower,HB 10,2011-01-18 00:00:00,Referred to Transportation and Finance,lower,committee:referred
ak,27,lower,HB 10,2011-03-16 00:00:00,TRA RPT CS(TRA) NT 1DP 5NR 1AM,lower,other
ak,27,lower,HB 10,2011-03-16 00:00:00,TRA Do Pass: P.WILSON,lower,committee:passed
ak,27,lower,HB 10,2011-03-16 00:00:00,"TRA No Recommendation: FEIGE, PRUITT, MUNOZ, PETERSEN, GRUENBERG",lower,other
ak,27,lower,HB 10,2011-03-16 00:00:00,TRA Amend: JOHNSON,lower,other
ak,27,lower,HB 10,2011-03-16 00:00:00,Fiscal Note 1: (Administration),lower,other
ak,27,lower,HB 10,2011-03-16 00:00:00,Referred to Finance,lower,committee:referred
ak,27,lower,HB 10,2011-03-30 00:00:00,Cosponsors added: FAIRCLOUGH,lower,other
ak,27,lower,HB 10,2012-03-30 00:00:00,Cosponsors added: T.WILSON,lower,other
ak,27,lower,HB 100,2011-01-18 00:00:00,Read the first time - REFERRALS,lower,bill:introduced|bill:reading:1
ak,27,lower,HB 100,2011-01-18 00:00:00,Referred to Fisheries and Resources,lower,committee:referred
ak,27,lower,HB 100,2012-02-24 00:00:00,FSH RPT CS(FSH) 5DP 1NR,lower,other
ak,27,lower,HB 100,2012-02-24 00:00:00,"FSH Do Pass: KAWASAKI, HERRON, AUSTERMAN, MILLER, THOMPSON",lower,committee:passed
ak,27,lower,HB 100,2012-02-24 00:00:00,FSH No Recommendation: PRUITT,lower,other
ak,27,lower,HB 100,2012-02-24 00:00:00,Fiscal Note 1: No fiscal impact (Fish and Game),lower,other
ak,27,lower,HB 100,2012-02-24 00:00:00,Referred to Resources,lower,committee:referred
ak,27,lower,HB 101,2011-01-18 00:00:00,Read the first time - REFERRALS,lower,bill:introduced|bill:reading:1
ak,27,lower,HB 101,2011-01-18 00:00:00,Referred to State Affairs,lower,committee:referred
ak,27,lower,HB 101,2011-03-29 00:00:00,STA RPT CS(STA) NT 7DP,lower,other
ak,27,lower,HB 101,2011-03-29 00:00:00,"STA Do Pass: PETERSEN, SEATON, GRUENBERG, KELLER, P.WILSON, JOHANSEN, LYNN",lower,committee:passed
ak,27,lower,HB 101,2011-03-29 00:00:00,Fiscal Note 1: No fiscal impact (Legislative Agency),lower,other
ak,27,lower,HB 101,2011-03-30 00:00:00,RULES TO CALENDAR 3/30/2011,lower,other
ak,27,lower,HB 101,2011-03-30 00:00:00,Read the second time,lower,bill:reading:2
ak,27,lower,HB 101,2011-03-30 00:00:00,STA CS ADOPTED UNAN CONSENT,lower,other
ak,27,lower,HB 101,2011-03-30 00:00:00,ADVANCED TO THIRD READING UNAN CONSENT,lower,other
ak,27,lower,HB 101,2011-03-30 00:00:00,Read the third time CSHB 101(STA),lower,bill:reading:3
ak,27,lower,HB 101,2011-03-30 00:00:00,PASSED Y38 E2,lower,bill:passed
ak,27,lower,HB 101,2011-03-30 00:00:00,TRANSMITTED TO (S),lower,other
ak,27,lower,HB 101,2011-03-30 00:00:00,VERSION: CSHB 101(STA),lower,other
ak,27,lower,HB 101,2011-04-01 00:00:00,Read the first time - REFERRALS,upper,bill:introduced|bill:reading:1
ak,27,lower,HB 101,2011-04-01 00:00:00,Referred to State Affairs,upper,committee:referred
ak,27,lower,HB 101,2011-04-12 00:00:00,STA RPT 5DP,upper,other
ak,27,lower,HB 101,2011-04-12 00:00:00,"STA Do Pass: WIELECHOWSKI, KOOKESH, PASKVAN, MEYER, GIESSEL",upper,committee:passed
ak,27,lower,HB 101,2011-04-12 00:00:00,Fiscal Note 1: No fiscal impact (Legislative Agency),upper,other
ak,27,lower,HB 101,2011-04-16 00:00:00,RULES TO CALENDAR 4/16/2011,upper,other
ak,27,lower,HB 101,2011-04-16 00:00:00,Read the second time,upper,bill:reading:2
ak,27,lower,HB 101,2011-04-16 00:00:00,ADVANCED TO THIRD READING UNAN CONSENT,upper,other
ak,27,lower,HB 101,2011-04-16 00:00:00,Read the third time CSHB 101(STA),upper,bill:reading:3
ak,27,lower,HB 101,2011-04-16 00:00:00,PASSED Y20 N-,upper,bill:passed
ak,27,lower,HB 101,2011-04-16 00:00:00,"RETURN TO (H), TRANSMIT TO GOV NEXT",upper,other
ak,27,lower,HB 101,2011-04-16 00:00:00,VERSION: CSHB 101(STA),upper,other
ak,27,lower,HB 101,2011-04-19 00:00:00,5:08 PM 4/18/11 Transmitted to Governor,lower,governor:received
ak,27,lower,HB 101,2011-04-23 00:00:00,Signed into law 4/22 CHAPTER 2 SLA 11,lower,governor:signed
ak,27,lower,HB 101,2011-04-23 00:00:00,EFFECTIVE DATE(S) OF LAW 7/21/11,lower,other
ak,27,lower,HB 102,2011-01-18 00:00:00,Read the first time - REFERRALS,lower,bill:introduced|bill:reading:1
ak,27,lower,HB 102,2011-01-18 00:00:00,Referred to Transportation and Finance,lower,committee:referred
ak,27,lower,HB 102,2011-01-18 00:00:00,Fiscal Note 1: (Revenue),lower,other
ak,27,lower,HB 102,2011-01-18 00:00:00,Fiscal Note 2: No fiscal impact (Transportation and Public Facilities),lower,other
ak,27,lower,HB 102,2011-01-18 00:00:00,GOVERNOR'S TRANSMITTAL LETTER,lower,other
ak,27,lower,HB 102,2011-01-18 00:00:00,Referred to Transportation,lower,committee:referred
ak,27,lower,HB 103,2011-01-18 00:00:00,Read the first time - REFERRALS,lower,bill:introduced|bill:reading:1
ak,27,lower,HB 103,2011-01-18 00:00:00,Referred to Energy and Finance,lower,committee:referred
ak,27,lower,HB 103,2011-01-18 00:00:00,"Fiscal Note 1: (Commerce, Community & Economic Development)",lower,other
ak,27,lower,HB 103,2011-01-18 00:00:00,"Fiscal Note 2: (Commerce, Community & Economic Development)",lower,other
ak,27,lower,HB 103,2011-01-18 00:00:00,"Fiscal Note 3: (Commerce, Community & Economic Development)",lower,other
ak,27,lower,HB 103,2011-01-18 00:00:00,"Fiscal Note 4: (Commerce, Community & Economic Development)",lower,other
ak,27,lower,HB 103,2011-01-18 00:00:00,"Fiscal Note 5: (Commerce, Community & Economic Development)",lower,other
ak,27,lower,HB 103,2011-01-18 00:00:00,"Fiscal Note 6: (Commerce, Community & Economic Development)",lower,other
ak,27,lower,HB 103,2011-01-18 00:00:00,"Fiscal Note 7: (Commerce, Community & Economic Development)",lower,other
ak,27,lower,HB 103,2011-01-18 00:00:00,GOVERNOR'S TRANSMITTAL LETTER,lower,other
ak,27,lower,HB 103,2011-03-10 00:00:00,ENE RPT CS(ENE) NT 7DP,lower,other
ak,27,lower,HB 103,2011-03-10 00:00:00,"ENE Do Pass: OLSON, LYNN, TUCK, PETERSEN, SADDLER, PRUITT, FOSTER",lower,committee:passed
ak,27,lower,HB 103,2011-03-10 00:00:00,"Fiscal Note 1: (Commerce, Community & Economic Development)",lower,other
ak,27,lower,HB 103,2011-03-10 00:00:00,"Fiscal Note 2: (Commerce, Community & Economic Development)",lower,other
ak,27,lower,HB 103,2011-03-10 00:00:00,"Fiscal Note 3: (Commerce, Community & Economic Development)",lower,other
ak,27,lower,HB 103,2011-03-10 00:00:00,"Fiscal Note 4: (Commerce, Community & Economic Development)",lower,other
ak,27,lower,HB 103,2011-03-10 00:00:00,"Fiscal Note 5: (Commerce, Community & Economic Development)",lower,other
ak,27,lower,HB 103,2011-03-10 00:00:00,"Fiscal Note 6: (Commerce, Community & Economic Development)",lower,other
ak,27,lower,HB 103,2011-03-10 00:00:00,"Fiscal Note 7: (Commerce, Community & Economic Development)",lower,other
ak,27,lower,HB 103,2011-04-12 00:00:00,FIN RPT CS(FIN) NT 6DP 5NR,lower,other
ak,27,lower,HB 103,2011-04-12 00:00:00,"FIN Do Pass: GUTTENBERG, COSTELLO, FAIRCLOUGH, T.WILSON, STOLTZE, THOMAS",lower,committee:passed
ak,27,lower,HB 103,2011-04-12 00:00:00,"FIN No Recommendation: DOOGAN, NEUMAN, EDGMON, GARA, JOULE",lower,other
ak,27,lower,HB 103,2011-04-12 00:00:00,"Fiscal Note 8: (Commerce, Community & Economic Development)",lower,other
ak,27,lower,HB 103,2011-04-12 00:00:00,"Fiscal Note 9: (Commerce, Community & Economic Development)",lower,other
ak,27,lower,HB 103,2011-04-12 00:00:00,Referred to Rules,lower,committee:referred
ak,27,lower,HB 104,2011-01-18 00:00:00,Read the first time - REFERRALS,lower,bill:introduced|bill:reading:1
ak,27,lower,HB 104,2011-01-18 00:00:00,Referred to Education and Finance,lower,committee:referred
ak,27,lower,HB 104,2011-01-18 00:00:00,Fiscal Note 1: (Revenue),lower,other
ak,27,lower,HB 104,2011-01-18 00:00:00,Fiscal Note 2: No fiscal impact (Revenue),lower,other
ak,27,lower,HB 104,2011-01-18 00:00:00,GOVERNOR'S TRANSMITTAL LETTER,lower,other
ak,27,lower,HB 104,2011-03-23 00:00:00,EDC RPT CS(EDC) NT 2DP 4AM,lower,other
ak,27,lower,HB 104,2011-03-23 00:00:00,"EDC Do Pass: SEATON, DICK",lower,committee:passed
ak,27,lower,HB 104,2011-03-23 00:00:00,"EDC Amend: CISSNA, P.WILSON, PRUITT, FEIGE",lower,other
ak,27,lower,HB 104,2011-03-23 00:00:00,Fiscal Note 3: Indeterminate fiscal impact (Education and Early Development),lower,other
ak,27,lower,HB 104,2011-04-12 00:00:00,FIN RPT CS(FIN) NT 2DP 7NR 2AM,lower,other
ak,27,lower,HB 104,2011-04-12 00:00:00,"FIN Do Pass: GUTTENBERG, GARA",lower,committee:passed
ak,27,lower,HB 104,2011-04-12 00:00:00,"FIN No Recommendation: T.WILSON, EDGMON, JOULE, COSTELLO, DOOGAN, STOLTZE, THOMAS",lower,other
ak,27,lower,HB 104,2011-04-12 00:00:00,"FIN Amend: FAIRCLOUGH, NEUMAN",lower,other
ak,27,lower,HB 104,2011-04-12 00:00:00,Fiscal Note 3: Indeterminate fiscal impact (Education and Early Development),lower,other
ak,27,lower,HB 104,2011-04-12 00:00:00,Fiscal Note 4: No fiscal impact (Revenue),lower,other
ak,27,lower,HB 104,2011-04-12 00:00:00,Fiscal Note 5: No fiscal impact (Revenue),lower,other
ak,27,lower,HB 104,2011-04-12 00:00:00,Fiscal Note 6: Indeterminate fiscal impact (Education and Early Development),lower,other
ak,27,lower,HB 104,2011-04-15 00:00:00,RLS RPT CS(RLS) NT 1DP 5NR 1AM,lower,other
ak,27,lower,HB 104,2011-04-15 00:00:00,RLS Do Pass: GATTO,lower,committee:passed
