state,session,chamber,bill_id,type,name,leg_id
ak,27,lower,HB 1,primary,GATTO,AKL000033
ak,27,lower,HB 1,cosponsor,LYNN,AKL000044
ak,27,lower,HB 1,cosponsor,P.Wilson,AKL000058
ak,27,lower,HB 1,cosponsor,Johnson,AKL000040
ak,27,lower,HB 1,cosponsor,Dick,AKL000025
ak,27,lower,HB 10,primary,STOLTZE,AKL000054
ak,27,lower,HB 10,cosponsor,KELLER,AKL000043
ak,27,lower,HB 10,cosponsor,Fairclough,AKL000028
ak,27,lower,HB 10,cosponsor,T.Wilson,AKL000059
ak,27,lower,HB 100,primary,KAWASAKI,AKL000042
ak,27,lower,HB 100,cosponsor,Miller,AKL000045
ak,27,lower,HB 100,cosponsor,Kerttula,AKL000022
ak,27,lower,HB 101,primary,RULES,
ak,27,lower,HB 102,primary,RULES BY REQUEST OF THE GOVERNOR,
ak,27,lower,HB 103,primary,RULES BY REQUEST OF THE GOVERNOR,
ak,27,lower,HB 104,primary,RULES BY REQUEST OF THE GOVERNOR,
ak,27,lower,HB 105,primary,RULES BY REQUEST OF THE GOVERNOR,
ak,27,lower,HB 106,primary,RULES BY REQUEST OF THE GOVERNOR,
ak,27,lower,HB 107,primary,RULES BY REQUEST OF THE GOVERNOR,
ak,27,lower,HB 108,primary,RULES BY REQUEST OF THE GOVERNOR,
ak,27,lower,HB 109,primary,RULES BY REQUEST OF THE GOVERNOR,
ak,27,lower,HB 11,primary,GARA,AKL000031
ak,27,lower,HB 11,cosponsor,Gruenberg,AKL000034
ak,27,lower,HB 11,cosponsor,Munoz,AKL000047
ak,27,lower,HB 11,cosponsor,Tuck,AKL000057
ak,27,lower,HB 11,cosponsor,Holmes,AKL000038
ak,27,lower,HB 11,cosponsor,Thompson,AKL000056
ak,27,lower,HB 11,cosponsor,Kerttula,AKL000022
ak,27,lower,HB 11,cosponsor,Lynn,AKL000044
ak,27,lower,HB 110,primary,RULES BY REQUEST OF THE GOVERNOR,
ak,27,lower,HB 111,primary,MILLETT,AKL000046
ak,27,lower,HB 111,cosponsor,Lynn,AKL000044
ak,27,lower,HB 111,cosponsor,P.Wilson,AKL000058
ak,27,lower,HB 111,cosponsor,Keller,AKL000043
ak,27,lower,HB 112,primary,MILLETT,AKL000046
ak,27,lower,HB 113,primary,GUTTENBERG,AKL000035
ak,27,lower,HB 114,primary,THOMPSON,AKL000056
ak,27,lower,HB 114,cosponsor,Neuman,AKL000048
ak,27,lower,HB 114,cosponsor,Feige,AKL000029
ak,27,lower,HB 115,primary,JOHNSON,AKL000040
ak,27,lower,HB 115,cosponsor,Lynn,AKL000044
ak,27,lower,HB 115,cosponsor,Neuman,AKL000048
ak,27,lower,HB 115,cosponsor,Guttenberg,AKL000035
ak,27,lower,HB 115,cosponsor,Thomas,AKL000055
ak,27,lower,HB 115,cosponsor,Doogan,AKL000026
ak,27,lower,HB 115,cosponsor,Stoltze,AKL000054
ak,27,lower,HB 115,cosponsor,Costello,AKL000024
ak,27,lower,HB 115,cosponsor,Kawasaki,AKL000042
ak,27,lower,HB 115,cosponsor,Petersen,AKL000050
ak,27,lower,HB 115,cosponsor,Tuck,AKL000057
