leg_id,type,term,district,chamber,state,party,committee_id,committee,subcommittee,start_date,end_date
AKL000005,member,27,K,upper,ak,Democratic,,,,,
AKL000005,committee member,27,,upper,ak,,AKC000002,Education,,,
AKL000005,committee member,27,,upper,ak,,AKC000004,Health & Social Services,,,
AKL000005,committee member,27,,upper,ak,,AKC000006,Labor & Commerce,,,
AKL000005,committee member,27,,upper,ak,,AKC000015,Education & Early Development,,,
AKL000005,committee member,27,,upper,ak,,AKC000019,Labor & Workforce Development,,,
AKL000005,committee member,27,,joint,ak,,AKC000031,Armed Services Committee,,,
AKL000005,committee member,27,,joint,ak,,AKC000034,Educ Funding District Cost Factor Comm,,,
AKL000005,committee member,27,,joint,ak,,AKC000036,Legislative Council,,,
AKL000012,member,27,C,upper,ak,Democratic,,,,,
AKL000012,committee member,27,,upper,ak,,AKC000001,Community & Regional Affairs,,,
AKL000012,committee member,27,,upper,ak,,AKC000009,State Affairs,,,
AKL000012,committee member,27,,upper,ak,,AKC000010,Transportation,,,
AKL000012,committee member,27,,upper,ak,,AKC000012,"Commerce, Community & Economic Dev",,,
AKL000012,committee member,27,,upper,ak,,AKC000018,Governor,,,
AKL000012,committee member,27,,upper,ak,,AKC000026,Transportation & Public Facilities,,,
AKL000014,member,27,G,upper,ak,Republican,,,,,
AKL000014,committee member,27,,upper,ak,,AKC000001,Community & Regional Affairs,,,
AKL000014,committee member,27,,upper,ak,,AKC000006,Labor & Commerce,,,
AKL000014,committee member,27,,upper,ak,,AKC000010,Transportation,,,
AKL000014,committee member,27,,upper,ak,,AKC000011,Administration,,,
AKL000014,committee member,27,,upper,ak,,AKC000013,Corrections,,,
AKL000014,committee member,27,,upper,ak,,AKC000026,Transportation & Public Facilities,,,
AKL000014,committee member,27,,upper,ak,,AKC000121,World Trade,,,
AKL000014,committee member,27,,joint,ak,,AKC000032,Legislative Budget & Audit,,,
AKL000014,committee member,27,,joint,ak,,AKC000147,Legislative Celebration Commission,,,
AKL000014,committee member,27,,joint,ak,,AKC000036,Legislative Council,,,
AKL000014,committee member,27,,joint,ak,,AKC000146,Victims Advocate Selection Committee,,,
AKL000015,member,27,E,upper,ak,Democratic,,,,,
AKL000015,committee member,27,,upper,ak,,AKC000005,Judiciary,,,
AKL000015,committee member,27,,upper,ak,,AKC000006,Labor & Commerce,,,
AKL000015,committee member,27,,upper,ak,,AKC000007,Resources,,,
AKL000015,committee member,27,,upper,ak,,AKC000009,State Affairs,,,
AKL000015,committee member,27,,upper,ak,,AKC000015,Education & Early Development,,,
AKL000015,committee member,27,,upper,ak,,AKC000023,Natural Resources,,,
AKL000015,committee member,27,,upper,ak,,AKC000024,Public Safety,,,
AKL000015,committee member,27,,upper,ak,,AKC000025,Revenue,,,
AKL000015,committee member,27,,joint,ak,,AKC000031,Armed Services Committee,,,
AKL000017,member,27,D,upper,ak,Democratic,,,,,
AKL000017,committee member,27,,upper,ak,,AKC000002,Education,,,
AKL000017,committee member,27,,upper,ak,,AKC000003,Finance,,,
AKL000017,committee member,27,,upper,ak,,AKC000010,Transportation,,,
AKL000017,committee member,27,,upper,ak,,AKC000014,Court System,,,
AKL000017,committee member,27,,upper,ak,,AKC000019,Labor & Workforce Development,,,
AKL000017,committee member,27,,upper,ak,,AKC000021,Legislature,,,
AKL000017,committee member,27,,upper,ak,,AKC000023,Natural Resources,,,
AKL000017,committee member,27,,upper,ak,,AKC000027,University Of Alaska,,,
AKL000017,committee member,27,,joint,ak,,AKC000031,Armed Services Committee,,,
AKL000017,committee member,27,,joint,ak,,AKC000035,Select Committee On Legislative Ethics,,,
AKL000017,committee member,27,,joint,ak,,AKC000036,Legislative Council,,,
AKL000017,committee member,27,,joint,ak,,AKC000120,Theme-Based Education Task Force,,,
AKL000017,committee member,27,,upper,ak,,AKC000050,University Boosters Caucus,,,
AKL000018,member,27,Q,upper,ak,Republican,,,,,
AKL000018,committee member,27,,upper,ak,,AKC000001,Community & Regional Affairs,,,
AKL000018,committee member,27,,upper,ak,,AKC000007,Resources,,,
AKL000018,committee member,27,,upper,ak,,AKC000016,Environmental Conservation,,,
AKL000018,committee member,27,,upper,ak,,AKC000017,Fish & Game,,,
AKL000018,committee member,27,,upper,ak,,AKC000023,Natural Resources,,,
AKL000018,committee member,27,,upper,ak,,AKC000121,World Trade,,,
AKL000018,committee member,27,,joint,ak,,AKC000030,Administrative Regulation Review,,,
AKL000018,committee member,27,,joint,ak,,AKC000032,Legislative Budget & Audit,,,
AKL000022,member,27,3,lower,ak,Democratic,,,,,
AKL000022,committee member,27,,joint,ak,,AKC000148,Alaska Arctic Policy Commission,,,
AKL000022,committee member,27,,lower,ak,,AKC000053,Finance,,,
AKL000022,committee member,27,,lower,ak,,AKC000069,Governor,,,
AKL000022,committee member,27,,lower,ak,,AKC000072,Legislature,,,
AKL000022,committee member,27,,lower,ak,,AKC000074,Natural Resources,,,
AKL000022,committee member,27,,lower,ak,,AKC000084,Committee On Committees,,,
AKL000022,member,28,32,lower,ak,Democratic,,,,,2014-01-24 00:00:00
AKL000022,committee member,28,,lower,ak,,AKC000211,Fish & Game,Finance Subcommittee,,
AKL000022,committee member,28,,lower,ak,,AKC000212,Governor,Finance Subcommittee,,
AKL000022,committee member,28,,lower,ak,,AKC000216,Legislature,Finance Subcommittee,,
AKL000022,committee member,28,,lower,ak,,AKC000220,Revenue,Finance Subcommittee,,
AKL000022,committee member,28,,joint,ak,,AKC000186,Alaska Arctic Policy Commission,,,
AKL000022,committee member,28,,lower,ak,,AKC000207,Corrections,Finance Subcommittee,,
AKL000023,member,27,22,lower,ak,Democratic,,,,,
AKL000023,committee member,27,,lower,ak,,AKC000051,Community & Regional Affairs,,,
AKL000023,committee member,27,,lower,ak,,AKC000052,Education,,,
AKL000023,committee member,27,,lower,ak,,AKC000054,Health & Social Services,,,
AKL000023,committee member,27,,lower,ak,,AKC000065,Education & Early Development,,,
AKL000023,committee member,27,,lower,ak,,AKC000073,Military & Veterans' Affairs,,,
AKL000023,committee member,27,,lower,ak,,AKC000075,Public Safety,,,
AKL000025,member,27,6,lower,ak,Republican,,,,,
AKL000025,committee member,27,,joint,ak,,AKC000120,Theme-Based Education Task Force,,,
AKL000025,committee member,27,,lower,ak,,AKC000051,Community & Regional Affairs,,,
AKL000025,committee member,27,,lower,ak,,AKC000052,Education,,,
