ID,Location,Upper intertidal substrate,Boulder / cobble % cover,Ulva lactuca (sea lettuce),Fucus distichus (wrack seaweed),Gigartina exasperata* (turkish towel),Enteromorpha spp.** (green alga),Percursaria spp. (green alga)
1,Coal Harbour Seawall,Silt/sand,10,25,25,5,40,-
2,Coal Harbour northwest shore,Mud,15,10,40,5,10,10
3,Coal Harbour north shore,Sand,25-Oct,10-May,30-75,0-5,10-May,0-20
4,Deadman's Island,Sand,20,10,30,5,10,-
5,West of Hallelujah Point,Sand,60,25,5,5,-,-
6,Brockton Point,boulder/ cobble,10,20,50,10,-,-
7,West of Brockton Point,boulder/ cobble,20,75,10,10,40,-
8,Figurehead Point,boulder/ cobble,50,40,20,5,10,-
9,Lumbermen's Arch,boulder/ cobble,20,20,20,10,-,-
10,West of Lumbermen's Arch,boulder/ cobble,35,10,50,-,-,-
11,East of Lions Gate Bridge,boulder/ cobble,20,30,20,5,-,-
12,Prospect Point,boulder/ cobble,85,5,50,-,-,-
