Nº Fin.,Desc. Finalidad,Nº Fun.,Desc. Función,Nº Juris.,Desc. Jurisdicción,Nº Prog.,Desc. Programa,Presupuesto,Porcentaje (por Función)
1,Administración gubernamental,1,Legislativa,1,Poder Legislativo Nacional,16,Formación y Sanción de Leyes Nacionales - Cámara de Senadores,587510000,36.7%
1,Administración gubernamental,1,Legislativa,1,Poder Legislativo Nacional,17,Formación y Sanción Legislativa - Cámara de Diputados,855515784,53.4%
1,Administración gubernamental,1,Legislativa,1,Poder Legislativo Nacional,19,Impresiones y Publicaciones Parlamentarias,79811485,5.0%
1,Administración gubernamental,1,Legislativa,1,Poder Legislativo Nacional,21,Defensa de los Derechos de los Ciudadanos,68059554,4.3%
1,Administración gubernamental,1,Legislativa,1,Poder Legislativo Nacional,22,Revisión de Cuentas Nacionales - Senado,1950000,0.1%
1,Administración gubernamental,1,Legislativa,1,Poder Legislativo Nacional,23,Revisión de Cuentas Nacionales - Diputados,1060988,0.1%
1,Administración gubernamental,1,Legislativa,1,Poder Legislativo Nacional,30,Fortalecimiento Institucional del Senado de la Nación (BID 1603/OC-AR),6911000,0.4%
1,Administración gubernamental,2,Judicial,1,Poder Legislativo Nacional,26,Protección de los Derechos del Interno Penitenciario,27141900,0.4%
1,Administración gubernamental,2,Judicial,5,Poder Judicial de la Nación,1,Actividades Centrales,447351214,6.6%
1,Administración gubernamental,2,Judicial,5,Poder Judicial de la Nación,4,Mandamientos y Notificaciones,114347504,1.7%
1,Administración gubernamental,2,Judicial,5,Poder Judicial de la Nación,5,Pericias Judiciales,251369692,3.7%
1,Administración gubernamental,2,Judicial,5,Poder Judicial de la Nación,6,Biblioteca y Jurisprudencia,25242739,0.4%
1,Administración gubernamental,2,Judicial,5,Poder Judicial de la Nación,7,Archivo General,123366835,1.8%
1,Administración gubernamental,2,Judicial,5,Poder Judicial de la Nación,8,Administración General de la Corte Suprema de Justicia de la Nación,313063709,4.6%
1,Administración gubernamental,2,Judicial,5,Poder Judicial de la Nación,21,Justicia de Máxima Instancia,203832185,3.0%
1,Administración gubernamental,2,Judicial,5,Poder Judicial de la Nación,22,Justicia de Casación Penal,62677933,0.9%
