id,state,chamber,committee,subcommittee,parent_id
AKC000030,ak,joint,Administrative Regulation Review,,
AKC000031,ak,joint,Armed Services Committee,,
AKC000032,ak,joint,Legislative Budget & Audit,,
AKC000035,ak,joint,Select Committee On Legislative Ethics,,
AKC000036,ak,joint,Legislative Council,,
AKC000149,ak,joint,Autism Early Diag./Treat. Task Force,,
AKC000169,ak,joint,Legislative Centennial Commission,,
AKC000186,ak,joint,Alaska Arctic Policy Commission,,
AKC000226,ak,joint,Unmanned Aircraft Systems Leg Task Force,,
AKC000051,ak,lower,Community & Regional Affairs,,
AKC000053,ak,lower,Finance,,
AKC000054,ak,lower,Health & Social Services,,
AKC000055,ak,lower,Judiciary,,
AKC000057,ak,lower,Resources,,
AKC000058,ak,lower,Rules,,
AKC000059,ak,lower,State Affairs,,
AKC000060,ak,lower,Transportation,,
AKC000073,ak,lower,Military & Veterans' Affairs,,
AKC000079,ak,lower,"Econ. Dev., Trade & Tourism",,
AKC000080,ak,lower,Energy,,
AKC000081,ak,lower,Fisheries,,
AKC000084,ak,lower,Committee On Committees,,
AKC000205,ak,lower,Administration,Finance Subcommittee,
AKC000206,ak,lower,"Commerce, Community & Economic Dev",Finance Subcommittee,
AKC000207,ak,lower,Corrections,Finance Subcommittee,
AKC000208,ak,lower,Court System,Finance Subcommittee,
AKC000209,ak,lower,Education & Early Development,Finance Subcommittee,
AKC000210,ak,lower,Environmental Conservation,Finance Subcommittee,
AKC000211,ak,lower,Fish & Game,Finance Subcommittee,
AKC000212,ak,lower,Governor,Finance Subcommittee,
AKC000213,ak,lower,Health & Social Services,Finance Subcommittee,AKC000054
AKC000214,ak,lower,Labor & Workforce Development,Finance Subcommittee,
AKC000215,ak,lower,Law,Finance Subcommittee,
AKC000216,ak,lower,Legislature,Finance Subcommittee,
AKC000217,ak,lower,Military & Veterans' Affairs,Finance Subcommittee,AKC000073
AKC000218,ak,lower,Natural Resources,Finance Subcommittee,
AKC000219,ak,lower,Public Safety,Finance Subcommittee,
AKC000220,ak,lower,Revenue,Finance Subcommittee,
AKC000221,ak,lower,Transportation & Public Facilities,Finance Subcommittee,
AKC000222,ak,lower,University Of Alaska,Finance Subcommittee,
AKC000225,ak,lower,Task Force On Sustainable Education,,
AKC000227,ak,lower,Fiscal Policy,Finance Subcommittee,
AKC000056,ak,lower,Labor & Commerce,,
AKC000052,ak,lower,Education,,
AKC000228,ak,lower,Free Conference Committee On Hb278,,
AKC000229,ak,lower,Free Conference Committee On Hb 278,,
AKC000231,ak,lower,Free Conference Committee On Hb 23,,
AKC000001,ak,upper,Community & Regional Affairs,,
AKC000002,ak,upper,Education,,
AKC000003,ak,upper,Finance,,
AKC000004,ak,upper,Health & Social Services,,
AKC000005,ak,upper,Judiciary,,
AKC000006,ak,upper,Labor & Commerce,,
AKC000007,ak,upper,Resources,,
AKC000008,ak,upper,Rules,,
AKC000009,ak,upper,State Affairs,,
AKC000010,ak,upper,Transportation,,
AKC000039,ak,upper,Committee On Committees,,
AKC000121,ak,upper,World Trade,,
AKC000187,ak,upper,Administration,Finance Subcommittee,
AKC000188,ak,upper,"Commerce, Community & Economic Dev",Finance Subcommittee,
AKC000189,ak,upper,Corrections,Finance Subcommittee,
AKC000190,ak,upper,Court System,Finance Subcommittee,
AKC000191,ak,upper,Education & Early Development,Finance Subcommittee,
AKC000192,ak,upper,Environmental Conservation,Finance Subcommittee,
AKC000193,ak,upper,Fish & Game,Finance Subcommittee,
AKC000194,ak,upper,Governor,Finance Subcommittee,
AKC000195,ak,upper,Health & Social Services,Finance Subcommittee,AKC000004
AKC000196,ak,upper,Labor & Workforce Development,Finance Subcommittee,
AKC000197,ak,upper,Law,Finance Subcommittee,
AKC000198,ak,upper,Legislature,Finance Subcommittee,
AKC000199,ak,upper,Military & Veterans' Affairs,Finance Subcommittee,
AKC000200,ak,upper,Natural Resources,Finance Subcommittee,
AKC000201,ak,upper,Public Safety,Finance Subcommittee,
AKC000202,ak,upper,Revenue,Finance Subcommittee,
AKC000203,ak,upper,Transportation & Public Facilities,Finance Subcommittee,
AKC000204,ak,upper,University Of Alaska,Finance Subcommittee,
AKC000223,ak,upper,Special Comm On In-State Energy,,
AKC000224,ak,upper,Special Comm On Taps Throughput,,
AKC000230,ak,upper,Free Conference Committee On Hb 278,,
AKC000232,ak,upper,Free Conference Committee On Hb 23,,
