"Longitude","Description","Title","Active","Verified","Mode","Latitude","Location","Date","Location ID","Incident ID"
5.793201,"In oporoza, Gbararmatu kingdom Warri Delta State an Oil spill has occured. The spill is coming from the PPMC (petroleum product markerketing company). It has been over 5 days now.the firm has come for the inspection of the spill and promised taht thay were going to come for cleaning up of the area but nothing has been done since. This spill has caused vomiting and stooling among the children in the community and the people living alone the shore line have been told not to cook in there houses anymore so as not to cause fire break-out.","oil spill in Oporoza",1,1,1,5.554399,"Oporoza, Gbaramatu kingdom, warri, delta state","2009-10-07 12:00:00",3,3
6.762085,"On 15 August 2009, representatives from the Centre for Environment, Human Rights and Development (CEHRD) visited Edagberi community in Rivers State, Nigeria, to investigate reports of continuous oil spills in the area.

Edagberi community, also known as Joinkrama 4 (or simply JK4) is in the Ahoada West Local Government Area of Rivers State. The area has 44 oil wells in the Adibawa oil field operated by the Shell Petroleum Development Company of Nigeria (SPDC).

Between 2006 and 2009, Edagberi and the surrounding land has suffered no fewer than 16 oil spillages, making it one of the worst oil impacted communities in the Niger Delta.

The aging pipelines that criss-cross the jungle landscape struggle to cope with the high pressure of oil being pumped through them with disastrous consequences for the community.","Continuous Oil Spills in Edagberi Community and Ineffectual Cleanup Operations",1,1,1,4.94867,"Rivers State, Nigeria","2009-08-15 12:00:00",14,14
5.806274,"Otuasega in Kolo Creek is a small, poverty stricken community in Ogbia Local Government Area of Bayelsa State.

The community is host to a number of oil servicing companies including the Shell Petroleum Development Company. Despite its status as an oil producing community, Otuasega is seriously impoverished and things are getting worse.

Regular oil spills pour crude into farmland and into the surrounding rivers causing serious damage to the environment to the livelihood of local people.

As the crop yields decline due to continual environmental pollution, the incidence of poverty has risen as many local farmers can no longer grow enough food.","Life in Otuasega",1,1,1,4.94867,"Otuasega, Ogbia Local Government Area, Bayelsa State.","2009-11-18 12:00:00",17,17
6.264167,"Biseni is one of the many communities in Bayelsa that has been blessed with abundant natural resources. It has eight clusters of oil wells operated jointly by the Nigerian Agip Oil Company (NAOC) and Shell's Petroleum Development Company (SPDC). The wells have been in operation in the area since 1972. 

Biseni is a typical example of the thousands of communities in the oil producing Niger Delta. After more than 35 years of oil exploration on their doorstep the people of Biseni live without drinking water, which often makes them sick. And when they get sick they have no proper health care facilities.

The thing about Biseni is that it is not a forgotten village. The Bayelsa State Governor with the Niger Delta Development Commission (NDDC - a government agency entrusted with using the proceeds of the oil wealth to develop local communities) supposedly completed a much trumped surface water scheme at the end of 2008. It was never finished, and the people of Biseni feel tricked.","35 Years of Oil Exploration in Biseni",1,1,1,4.924722,"Yenagoa, Bayelsa State","2009-07-01 12:00:00",18,18
7.358093,"Bomu is suffering serious environmental problems and economic decline as a result of an oil spillage which has covered almost all parts of Bomu Creek, destroying aquatic life and a vast area of land previously used for farming.

The permanent oil spillage in Bomu is clearly visible around the Bondimpa Fishing Port and all along the creek. Community Leaders blame the Shell Petroleum Development Company (SPDC) for the oil spillage and say that most of the pipes carrying oil to the ocean terminal are damaged and pour out crude into the creek and surrounding farmlands.

This is not the first time that Bomu has been affected by Shell; The most recent oil spillage in Bomu occurred in September 2008. According to the community the spill was caused by a leakage at nearby Bodo which poured crude oil into the creek which, in turn, flowed downstream to Bomu.","Swimming in Crude - Bomu Community",1,1,1,4.640761,"Bomu, Gokana Local Government Area, Ogoni Land","2009-06-01 12:00:00",19,19
6.649475,"Akala-Olu is a community in the oil producing Ahoada West Local Government Area of Rivers State, Nigeria. It is a rural community where the locals carry out subsistence farming as their main source of livelihood.

It is also home to the Akala-Olu gas flare owned by the Nigerian Oil Company AGIP which bellows out a continuous plume of thick smoke across the surrounding area.

Despite hosting the AGIP ‘facilities’, the community lacks basic social amenities, particularly potable water.","Gas flare in Akala-Olu",1,1,1,5.082737,"Akala-Olu, Ahoada West Local Government Area, Rivers","2009-06-01 12:00:00",20,20
7.218018,"On 28 August 2008 a fault in the Trans-Niger pipeline resulted in a significant oil spill into Bodo Creek in Ogoniland. The oil poured into the swamp and creek for weeks, covering the area in a thick slick of oil and killing the fish that people depend on for food and for their livelihood.

A local NGO, the Center for Environment, Human Rights and Development (CEHRD), which investigated the case (including by taking video footage of the leak), reported that the oil spill has resulted in death or damage to a number of species of fish that provide the protein needs of the local community.

Video footage of the site shows widespread damage, including to mangroves which are an important fish breeding ground.

The pipe that burst is the responsibility of the Shell Petroleum Development Company (SPDC). The community claim that the spill began on 28 August 2008. SPDC has reportedly stated that the spill was only reported to them on 5 October of that year. Rivers State Ministry of Environment was informed of the leak and its devastating consequences on 12 October by CEHRD. A Ministry official is reported to have visited the site on 15 October. However, the leak was not stopped until 7 November.

In October 2008, members of the community said they were desperate for action to stop the leak that was destroying their food source and environment.","Oil Spill at Bodo Creek",1,0,1,4.620229,"Bodo","2008-08-28 05:19:00",44,44
6.641235,"Rumuekpe community is host to 4 oil companies (Agip, Shell, TotalfinaElf and Niger Delta Petroleum Resources) and  was sacked about 5 years ago (2005) because they  demanded that the companies operate by the rules and the principles they post on their websites.  
Upon their return on 14th November 2009, community people have insisted that the companies clean up their mess which has rendered their once beautiful homes, unhabitable.
 
Social Development Integrated Centre (Social Action) has documented incidents of human and environmental rights abuses against Rumuekpe people and did a publication ""FUELLING DISCORD-Oil and Conflicts in three Niger Delta Communities""","Rumuekpe community suffers from spills and displacement",1,0,1,4.91036,"Rumuekpe","2010-02-23 05:27:00",45,45
7.723389,"On 12 May 2007, oil leaked from the Trans-Niger pipeline at the village of Kira Tai in Ogoniland. Crops were destroyed and fish in the local pond died. According to Chief Kabri Kabri, Shell representatives who inspected the leak found three holes in the underside of the pipe which they attributed to corrosion. Shell clamped the pipeline and mechanically removed much of the spilled oil. Almost a year later, Shell had taken no further action to clean up the site or compensate the affected community. When questioned by Amnesty International, Shell had changed their assessment and claimed the spill was due to sabotage. The community had not been told about the change and were still waiting for clean up and compensation.","Oil leaked from the Trans-Niger pipeline at the village of Kira Tai",1,1,1,4.54357,"Kira Tai","2007-05-12 01:41:00",52,52
3.395833,"On March 15, 2010 residents of Abesan Estate and Baruwa community in Alimosho LGA of Lagos alerted ERA/FoEN on the need to help draw government attention to the dangers of large quantity of petroleum products they observed in their wells and boreholes. Although they had written to the Lagos State government and the Nigerian National Petroleum Corporation (NNPC), up till that point, the attention of the general public had not been drawn to their plight.","NNPC Pipelines pollute groundwater in Abesan Community, Lagos",1,1,1,6.453056,"Lagos","2010-03-16 11:11:00",56,56
